,_id,admin,allGroups,amount,cash,cashDoc,contents,context,description,gameCode,group,groupName,humanTime,item,itemNo,key,newPrice,newYearValue,note,oldPrice,player,playername,pointsAwarded,price,recipient,recipientGroup,recipientName,recvAmt,recvRes,recvResNo,recvResRecipient,recvResRequester,reqAmt,reqId,reqLogContents,reqRes,reqResNo,reqResRecipient,reqResRequester,requester,requesterGroup,requesterName,response,size,startingYear,stockDoc,timestamp,user,year,zone
2207,b6RywbY4ZvmwR3hBx,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,cotton,c8,StockPriceChange,3.12,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2208,3Kj6GMgeoY2wXtChP,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2209,btFFh3wLGY6wPh455,,,,,,,{},RegularUpdate,1730,7,,2/4/17 13:22,coal,c4,StockPriceChange,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2210,WcAmYheNJ2dSbMCLt,,,,,,,,RegularUpdate,1730,7,,2/4/17 13:22,555,555,StockPriceChange,1029.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2211,2HKk8D7QWze4xKNYP,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,pearl,e8,StockPriceChange,9.14,,,9.14,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2212,9spdThpD5oEeBRN4n,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2213,NsuKvLc8ToiwTozwX,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,iridium,e5,StockPriceChange,9.03,,,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2214,Qi7JBebWnYsLgtdwT,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2215,vtaYhDryKGXGGyF2h,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,gold,e1,StockPriceChange,9.03,,,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2216,B4CuQqGsniwCTmmAe,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2217,FhsGaSGkq8SvjZWCY,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,ruby,e6,StockPriceChange,8.92,,,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2218,84wPfzeonitnyTfzC,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2219,EjkqiQqxsBvES9gZP,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,diamond,e4,StockPriceChange,8.82,,,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2220,CqgMmNvF5ZFNgB8aL,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2221,nh3ovj36WQvYfCAp3,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,silver,e2,StockPriceChange,8.62,,,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2222,RYqEeWuLHbiDdGquw,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2223,AxecTiuMretz8fnav,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,food,c3,StockPriceChange,8.92,,,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2224,zw7Ppz55SrXTPpZgs,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2225,Q3sng8MCdfKyPDLam,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,oil,c7,StockPriceChange,4.8,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2226,jYuTv5cQSujH6NBzi,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2227,G2SECM8hLd2MKqb3T,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,cotton,c8,StockPriceChange,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2228,yvH3BoQb3d5sYPtbw,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2229,2pkYW4HBY7PCWwnMj,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,water,c2,StockPriceChange,3.67,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2230,FCXcYEX99Wwgzvf2N,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2231,dpMxFaviy72sYq8z4,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,coal,c4,StockPriceChange,2.27,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2232,CBXFxikLgLPKFwfJj,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2233,YcmYriyq9GTtQzzCo,,,,,,,{},RegularUpdate,1730,4,,2/4/17 13:22,stone,c6,StockPriceChange,3.12,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
2234,pmeCJBzNk2xHXnY6t,,,,,,,,RegularUpdate,1730,4,,2/4/17 13:22,555,555,StockPriceChange,982.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49E+12,,,
